paradas, gimnasios, mochila, amplitud, promedio de tiempo, desviación estandar de tiempo 
4, 0, 8, 3, 8.06666666667, 2.56818137123
4, 0, 8, 4, 7.53333333333, 1.8208667045
4, 0, 9, 0, 5.53333333333, 1.49962958389
4, 0, 9, 1, 3.13333333333, 1.66799946709
4, 0, 9, 2, 4.93333333333, 1.18133634311
4, 0, 9, 3, 7.53333333333, 1.96185852927
4, 0, 9, 4, 6.26666666667, 1.73076733143
4, 1, 0, 0, 7.33333333333, 1.77638834593
4, 1, 0, 1, 5.33333333333, 2.32856655954
4, 1, 0, 2, 6.93333333333, 2.37954243968
4, 1, 0, 3, 5.86666666667, 1.20369800568
4, 1, 0, 4, 5.86666666667, 2.4997777679
4, 1, 1, 0, 7.26666666667, 2.48908729368
4, 1, 1, 1, 8.93333333333, 2.04830553276
4, 1, 1, 2, 5.46666666667, 1.49962958389
4, 1, 1, 3, 5.8, 2.34378611083
4, 1, 1, 4, 4.46666666667, 2.33428552
4, 1, 2, 0, 6.33333333333, 2.62466929134
4, 1, 2, 1, 6.4, 1.54056266777
4, 1, 2, 2, 6.26666666667, 2.14372469211
4, 1, 2, 3, 8.06666666667, 1.61107279648
4, 1, 2, 4, 5.33333333333, 2.84409720103
4, 1, 3, 0, 6.66666666667, 2.05480466766
4, 1, 3, 1, 6.26666666667, 2.35135894514
4, 1, 3, 2, 8.86666666667, 3.22214559296
4, 1, 3, 3, 4.0, 0.36514837167
4, 1, 3, 4, 5.0, 2.39443799948
4, 1, 4, 0, 7.8, 1.51437555888
4, 1, 4, 1, 6.86666666667, 1.25786415094
4, 1, 4, 2, 7.86666666667, 3.095516471
4, 1, 4, 3, 6.06666666667, 2.17460085737
4, 1, 4, 4, 6.13333333333, 2.21710521978
4, 1, 5, 0, 8.26666666667, 2.32283351869
4, 1, 5, 1, 5.0, 1.67332005307
4, 1, 5, 2, 5.73333333333, 1.56914697279
4, 1, 5, 3, 9.6, 3.26190128606
4, 1, 5, 4, 6.26666666667, 2.76807193227
4, 1, 6, 0, 5.53333333333, 2.21710521978
4, 1, 6, 1, 4.06666666667, 1.38884444373
4, 1, 6, 2, 8.66666666667, 3.41890170799
4, 1, 6, 3, 10.2, 6.53401357003
4, 1, 6, 4, 7.73333333333, 2.29395340454
4, 1, 7, 0, 4.26666666667, 2.23507394857
4, 1, 7, 1, 7.53333333333, 2.09337579575
4, 1, 7, 2, 7.33333333333, 2.77288457908
4, 1, 7, 3, 5.53333333333, 2.55255862921
4, 1, 7, 4, 5.8, 1.83303027798
4, 1, 8, 0, 11.4666666667, 2.52630604287
4, 1, 8, 1, 7.13333333333, 2.30554886211
4, 1, 8, 2, 7.73333333333, 1.84270332814
4, 1, 8, 3, 10.8666666667, 3.63073301445
4, 1, 8, 4, 7.8, 2.92574776767
4, 1, 9, 0, 7.13333333333, 1.70749979665
4, 1, 9, 1, 5.93333333333, 2.35135894514
4, 1, 9, 2, 7.6, 2.38886304896
4, 1, 9, 3, 6.66666666667, 2.89059778516
4, 1, 9, 4, 7.53333333333, 2.87208789714
4, 2, 0, 0, 7.06666666667, 3.19304800395
4, 2, 0, 1, 9.0, 2.683281573
4, 2, 0, 2, 7.53333333333, 3.91350936572
4, 2, 0, 3, 10.1333333333, 2.41844761963
4, 2, 0, 4, 11.3333333333, 2.29975844142
4, 2, 1, 0, 8.53333333333, 2.98589275687
4, 2, 1, 1, 6.86666666667, 2.09337579575
4, 2, 1, 2, 6.6, 2.52454616383
4, 2, 1, 3, 8.06666666667, 3.0433899228
4, 2, 1, 4, 5.66666666667, 1.53478192443
4, 2, 2, 0, 7.26666666667, 2.93181779031
4, 2, 2, 1, 6.86666666667, 1.4079141388
4, 2, 2, 2, 8.66666666667, 3.84129607757
4, 2, 2, 3, 10.4, 1.95959179423
4, 2, 2, 4, 7.86666666667, 3.15946549629
4, 2, 3, 0, 5.66666666667, 1.24721912892
4, 2, 3, 1, 11.8, 3.03754286664
4, 2, 3, 2, 8.06666666667, 3.33599893419
4, 2, 3, 3, 7.33333333333, 2.27058484879
4, 2, 3, 4, 11.0, 2.75680975042
4, 2, 4, 0, 9.66666666667, 1.92064803879
4, 2, 4, 1, 11.2, 3.2083225108
4, 2, 4, 2, 6.4, 3.24139887497
4, 2, 4, 3, 6.0, 2.36643191324
4, 2, 4, 4, 10.2666666667, 5.01287231923
4, 2, 5, 0, 12.0666666667, 3.43446583264
4, 2, 5, 1, 11.2666666667, 2.93181779031
4, 2, 5, 2, 11.6666666667, 3.71782493163
4, 2, 5, 3, 9.2, 4.36959189551
4, 2, 5, 4, 12.5333333333, 3.44222150491
4, 2, 6, 0, 9.2, 3.05941170816
4, 2, 6, 1, 11.2, 3.93615717843
4, 2, 6, 2, 5.2, 0.4
4, 2, 6, 3, 11.5333333333, 3.68540665629
4, 2, 6, 4, 10.8, 3.83318840306
4, 2, 7, 0, 12.4666666667, 2.96348143612
4, 2, 7, 1, 11.8, 2.58714772159
4, 2, 7, 2, 13.0666666667, 2.43493098237
4, 2, 7, 3, 10.0666666667, 4.24996732014
4, 2, 7, 4, 10.3333333333, 4.57043640027
4, 2, 8, 0, 11.2, 3.81575680567
4, 2, 8, 1, 10.3333333333, 2.89059778516
4, 2, 8, 2, 9.06666666667, 3.94067112164
4, 2, 8, 3, 12.0666666667, 3.88958723888
4, 2, 8, 4, 8.13333333333, 4.61687725151
4, 2, 9, 0, 10.5333333333, 5.18802038889
4, 2, 9, 1, 10.4666666667, 3.28362942827
4, 2, 9, 2, 12.2666666667, 3.29578855848
4, 2, 9, 3, 14.0666666667, 0.573488351136
4, 2, 9, 4, 12.4666666667, 3.34398298773
4, 3, 0, 0, 8.26666666667, 3.82041300851
4, 3, 0, 1, 9.93333333333, 3.641733409
4, 3, 0, 2, 9.6, 3.30252428707
4, 3, 0, 3, 10.2666666667, 4.91889779885
4, 3, 0, 4, 14.1333333333, 3.44222150491
4, 3, 1, 0, 7.93333333333, 4.05736641459
4, 3, 1, 1, 9.4, 4.0463975748
4, 3, 1, 2, 7.33333333333, 4.04420023683
4, 3, 1, 3, 13.0666666667, 1.76886655486
4, 3, 1, 4, 12.0666666667, 4.73943268991
4, 3, 2, 0, 10.8, 3.91918358845
4, 3, 2, 1, 10.2, 2.97097066069
4, 3, 2, 2, 10.2, 3.2083225108
4, 3, 2, 3, 9.2, 3.9530578881
4, 3, 2, 4, 13.1333333333, 3.72140952985
4, 3, 3, 0, 9.33333333333, 3.84129607757
4, 3, 3, 1, 13.6666666667, 3.57149206293
4, 3, 3, 2, 11.6, 5.97550555741
4, 3, 3, 3, 13.3333333333, 4.1419265512
4, 3, 3, 4, 9.86666666667, 3.63073301445
4, 3, 4, 0, 11.9333333333, 4.63992337101
4, 3, 4, 1, 10.4666666667, 5.27720464724
4, 3, 4, 2, 16.2, 3.50618501128
4, 3, 4, 3, 10.7333333333, 4.91889779885
4, 3, 4, 4, 8.53333333333, 2.44585817705
4, 3, 5, 0, 16.4, 4.22374241639
4, 3, 5, 1, 15.6666666667, 3.02581485811
4, 3, 5, 2, 16.6666666667, 1.73845397472
4, 3, 5, 3, 12.9333333333, 3.641733409
4, 3, 5, 4, 15.1333333333, 3.96428499928
4, 3, 6, 0, 7.53333333333, 4.2562372532
4, 3, 6, 1, 13.6, 4.27083130081
4, 3, 6, 2, 8.33333333333, 4.40706503494
4, 3, 6, 3, 12.4666666667, 1.85711843696
4, 3, 6, 4, 13.5333333333, 3.38362067745
4, 3, 7, 0, 13.0, 5.50151494287
4, 3, 7, 1, 11.0, 5.40370243444
4, 3, 7, 2, 13.5333333333, 2.80158685193
4, 3, 7, 3, 11.3333333333, 4.64279609239
4, 3, 7, 4, 14.2666666667, 5.13116837464
4, 3, 8, 0, 12.1333333333, 4.58790680909
4, 3, 8, 1, 16.8, 3.7094473982
4, 3, 8, 2, 16.6666666667, 3.53396220819
4, 3, 8, 3, 13.8, 4.76375202265
4, 3, 8, 4, 17.0666666667, 4.1707979519
4, 3, 9, 0, 8.8, 4.70744091838
4, 3, 9, 1, 7.6, 4.07921561087
4, 3, 9, 2, 14.9333333333, 4.80925034583
4, 3, 9, 3, 12.8, 5.97996655509
4, 3, 9, 4, 17.8, 3.67332728372
5, 0, 0, 0, 5.8, 0.832666399786
5, 0, 0, 1, 5.6, 1.30639452948
5, 0, 0, 2, 6.53333333333, 6.87863035462
