Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2,Pociones Gimnasio
8, 8, 6, 1, 22423087.000000, 4275040, 733020, 11, 4, 181890, 294044, 1
8, 8, 6, 2, 21664275.000000, 4275040, 733020, 11, 4, 181890, 294044, 1
8, 8, 6, 3, 21660048.000000, 4275040, 733020, 11, 4, 181890, 294044, 1
8, 8, 6, 4, 21658397.000000, 4275040, 733020, 11, 4, 181890, 294044, 1
8, 8, 6, 0, 18673037.000000, 3558012, 605553, 14, 4, 92470, 47194, 2
8, 8, 6, 1, 18413078.000000, 3558012, 605553, 14, 4, 92470, 47194, 2
8, 8, 6, 2, 18436890.000000, 3558012, 605553, 14, 4, 92470, 47194, 2
8, 8, 6, 3, 18369829.000000, 3558012, 605553, 14, 4, 92470, 47194, 2
8, 8, 6, 4, 18371054.000000, 3558012, 605553, 14, 4, 92470, 47194, 2
8, 8, 6, 0, 6336341.000000, 1068492, 183040, 16, 4, 40048, 12, 3
8, 8, 6, 1, 6329139.000000, 1068492, 183040, 16, 4, 40048, 12, 3
8, 8, 6, 2, 6344394.000000, 1068492, 183040, 16, 4, 40048, 12, 3
8, 8, 6, 3, 6327268.000000, 1068492, 183040, 16, 4, 40048, 12, 3
8, 8, 6, 4, 6330497.000000, 1068492, 183040, 16, 4, 40048, 12, 3
15, 1, 6, 0, 9862763.000000, 1720322, 245761, 16, 4, 15, 14, 0
15, 1, 6, 1, 9844737.000000, 1720322, 245761, 16, 4, 15, 14, 0
15, 1, 6, 2, 9842817.000000, 1720322, 245761, 16, 4, 15, 14, 0
15, 1, 6, 3, 9849463.000000, 1720322, 245761, 16, 4, 15, 14, 0
15, 1, 6, 4, 9922319.000000, 1720322, 245761, 16, 4, 15, 14, 0
8, 8, 6, 0, 21473306.000000, 4275011, 735319, 11, 4, 182491, 302890, 1
8, 8, 6, 1, 21386851.000000, 4275011, 735319, 11, 4, 182491, 302890, 1
8, 8, 6, 2, 21404634.000000, 4275011, 735319, 11, 4, 182491, 302890, 1
8, 8, 6, 3, 21502298.000000, 4275011, 735319, 11, 4, 182491, 302890, 1
8, 8, 6, 4, 21475635.000000, 4275011, 735319, 11, 4, 182491, 302890, 1
8, 8, 6, 0, 18408798.000000, 3568079, 605731, 14, 4, 92501, 37527, 2
8, 8, 6, 1, 18413619.000000, 3568079, 605731, 14, 4, 92501, 37527, 2
8, 8, 6, 2, 18462128.000000, 3568079, 605731, 14, 4, 92501, 37527, 2
8, 8, 6, 3, 18352795.000000, 3568079, 605731, 14, 4, 92501, 37527, 2
8, 8, 6, 4, 18419198.000000, 3568079, 605731, 14, 4, 92501, 37527, 2
8, 8, 6, 0, 6343544.000000, 1068499, 183040, 16, 4, 40048, 5, 3
8, 8, 6, 1, 6378420.000000, 1068499, 183040, 16, 4, 40048, 5, 3
8, 8, 6, 2, 6395375.000000, 1068499, 183040, 16, 4, 40048, 5, 3
8, 8, 6, 3, 6325417.000000, 1068499, 183040, 16, 4, 40048, 5, 3
8, 8, 6, 4, 6342062.000000, 1068499, 183040, 16, 4, 40048, 5, 3
17, 1, 6, 0, 52754761.000000, 8912896, 1114113, 18, 4, 17, 18, 0
17, 1, 6, 1, 52829118.000000, 8912896, 1114113, 18, 4, 17, 18, 0
17, 1, 6, 2, 52763654.000000, 8912896, 1114113, 18, 4, 17, 18, 0
17, 1, 6, 3, 52907309.000000, 8912896, 1114113, 18, 4, 17, 18, 0
17, 1, 6, 4, 52919513.000000, 8912896, 1114113, 18, 4, 17, 18, 0
9, 9, 6, 0, 129741664.000000, 24996735, 3611100, 12, 4, 838210, 892825, 1
9, 9, 6, 1, 130317035.000000, 24996735, 3611100, 12, 4, 838210, 892825, 1
9, 9, 6, 2, 129761324.000000, 24996735, 3611100, 12, 4, 838210, 892825, 1
9, 9, 6, 3, 130238558.000000, 24996735, 3611100, 12, 4, 838210, 892825, 1
9, 9, 6, 4, 129944735.000000, 24996735, 3611100, 12, 4, 838210, 892825, 1
9, 9, 6, 0, 106950496.000000, 19971850, 2950440, 15, 4, 438605, 105700, 2
9, 9, 6, 1, 107022180.000000, 19971850, 2950440, 15, 4, 438605, 105700, 2
9, 9, 6, 2, 107928587.000000, 19971850, 2950440, 15, 4, 438605, 105700, 2
9, 9, 6, 3, 107552024.000000, 19971850, 2950440, 15, 4, 438605, 105700, 2
9, 9, 6, 4, 107829442.000000, 19971850, 2950440, 15, 4, 438605, 105700, 2
9, 9, 6, 0, 32081339.000000, 5191763, 787644, 18, 4, 175041, 4, 3
9, 9, 6, 1, 32364665.000000, 5191763, 787644, 18, 4, 175041, 4, 3
9, 9, 6, 2, 32325218.000000, 5191763, 787644, 18, 4, 175041, 4, 3
9, 9, 6, 3, 32090550.000000, 5191763, 787644, 18, 4, 175041, 4, 3
9, 9, 6, 4, 32103590.000000, 5191763, 787644, 18, 4, 175041, 4, 3
17, 1, 6, 0, 53170376.000000, 8912892, 1114113, 18, 4, 17, 22, 0
17, 1, 6, 1, 52964715.000000, 8912892, 1114113, 18, 4, 17, 22, 0
17, 1, 6, 2, 53137115.000000, 8912892, 1114113, 18, 4, 17, 22, 0
17, 1, 6, 3, 53827713.000000, 8912892, 1114113, 18, 4, 17, 22, 0
17, 1, 6, 4, 53063253.000000, 8912892, 1114113, 18, 4, 17, 22, 0
9, 9, 6, 0, 130571648.000000, 25136211, 3611667, 12, 4, 838593, 754470, 1
9, 9, 6, 1, 131397864.000000, 25136211, 3611667, 12, 4, 838593, 754470, 1
9, 9, 6, 2, 130610671.000000, 25136211, 3611667, 12, 4, 838593, 754470, 1
9, 9, 6, 3, 131145458.000000, 25136211, 3611667, 12, 4, 838593, 754470, 1
9, 9, 6, 4, 131184697.000000, 25136211, 3611667, 12, 4, 838593, 754470, 1
9, 9, 6, 0, 107810084.000000, 19988144, 2950478, 16, 4, 438632, 89456, 2
9, 9, 6, 1, 108125093.000000, 19988144, 2950478, 16, 4, 438632, 89456, 2
9, 9, 6, 2, 108344106.000000, 19988144, 2950478, 16, 4, 438632, 89456, 2
9, 9, 6, 3, 107770078.000000, 19988144, 2950478, 16, 4, 438632, 89456, 2
9, 9, 6, 4, 107790647.000000, 19988144, 2950478, 16, 4, 438632, 89456, 2
9, 9, 6, 0, 32082913.000000, 5191761, 787644, 18, 4, 175041, 6, 3
9, 9, 6, 1, 32151186.000000, 5191761, 787644, 18, 4, 175041, 6, 3
9, 9, 6, 2, 32367927.000000, 5191761, 787644, 18, 4, 175041, 6, 3
9, 9, 6, 3, 32095198.000000, 5191761, 787644, 18, 4, 175041, 6, 3
9, 9, 6, 4, 32037807.000000, 5191761, 787644, 18, 4, 175041, 6, 3
