Cantidad de gimnasios, Cantidad de pokeparadas, Capacidad mochila, Diferencia
6, 5, 111, 0.507942
6, 5, 112, 6.722038
6, 5, 112, 3.256521
6, 5, 112, 5.828463
6, 5, 112, 4.988911
6, 5, 113, 3.801349
6, 5, 113, 8.36647
6, 5, 113, 1.610627
6, 5, 113, 5.96575
6, 5, 114, 7.723027
6, 5, 114, 1.53532
6, 5, 114, 3.705413
6, 5, 114, 9.142513
6, 5, 115, 2.449964
6, 5, 115, 6.987993
6, 5, 115, 1.813044
6, 5, 115, 5.554237
6, 5, 116, 12.771742
6, 5, 116, 5.133415
6, 5, 116, 4.52054
6, 5, 116, 5.98202
6, 5, 117, 5.226737
6, 5, 117, 3.934817
6, 5, 117, 6.982338
6, 5, 117, 3.839227
6, 5, 118, 3.113896
6, 5, 118, 9.467539
6, 5, 118, 4.473613
6, 5, 118, 5.670805
6, 5, 119, 11.495735
6, 5, 119, 8.478165
6, 5, 119, 4.530653
6, 5, 119, 2.484107
6, 5, 120, 17.715774
6, 5, 120, 10.613128
6, 5, 120, 3.232435
6, 5, 120, 0.787236
6, 5, 121, 3.062257
6, 5, 121, 4.876584
6, 5, 121, 4.444091
6, 5, 121, 8.982895
6, 5, 122, 0.211593
6, 5, 122, 4.005021
6, 5, 122, 8.150756
6, 5, 122, 0.993427
6, 5, 123, 6.869269
6, 5, 123, 6.610565
6, 5, 123, 7.255259
6, 5, 123, 2.162278
6, 5, 124, 9.608624
6, 5, 124, 4.85398
6, 5, 124, 5.475741
6, 5, 124, 6.935855
6, 5, 125, 7.491855
6, 5, 125, 2.211102
6, 5, 125, 2.211102
6, 5, 125, 3.268978
6, 5, 126, 4.873204
6, 5, 126, 0.28011
6, 5, 126, 10.470214
6, 5, 126, 9.471788
6, 5, 127, 6.267964
6, 5, 127, 9.157216
6, 5, 127, 1.433978
6, 5, 127, 7.104412
6, 5, 128, 3.385165
6, 5, 128, 5.327815
6, 5, 128, 5.95569
6, 5, 128, 10.413463
6, 5, 129, 11.393829
6, 5, 129, 3.748064
6, 5, 129, 4.613209
6, 5, 129, 2.968461
6, 5, 130, 6.329334
6, 5, 130, 14.276982
6, 5, 130, 5.248117
6, 5, 130, 4.776245
6, 5, 131, 7.691453
