Cantidad de paradas, Capacidad de mochila, Tiempo
156, 5, 2748482.000000
157, 5, 5622032.000000
157, 5, 3118790.000000
157, 5, 3799969.000000
157, 5, 4731029.000000
158, 5, 3159243.000000
158, 5, 5279130.000000
158, 5, 4169931.000000
158, 5, 3706638.000000
159, 5, 2824142.000000
159, 5, 2718401.000000
159, 5, 4060501.000000
159, 5, 7293733.000000
160, 5, 6237736.000000
160, 5, 3211322.000000
160, 5, 3743765.000000
160, 5, 10010559.000000
161, 5, 6450650.000000
161, 5, 4082734.000000
161, 5, 4612321.000000
161, 5, 2781035.000000
162, 5, 3869046.000000
162, 5, 5889530.000000
162, 5, 8089192.000000
162, 5, 3922401.000000
163, 5, 4786984.000000
163, 5, 3137480.000000
163, 5, 3100511.000000
163, 5, 3858672.000000
164, 5, 5201499.000000
164, 5, 4440072.000000
164, 5, 2289463.000000
164, 5, 3015549.000000
165, 5, 3664415.000000
165, 5, 6208806.000000
165, 5, 3224846.000000
165, 5, 2471913.000000
166, 5, 5813618.000000
166, 5, 3608374.000000
166, 5, 2119147.000000
166, 5, 3781979.000000
167, 5, 4509885.000000
167, 5, 6688941.000000
167, 5, 3596780.000000
167, 5, 5948480.000000
168, 5, 7807087.000000
168, 5, 5245335.000000
168, 5, 8147175.000000
168, 5, 5666255.000000
169, 5, 3024969.000000
169, 5, 8214231.000000
169, 5, 4513199.000000
169, 5, 3220351.000000
170, 5, 8286097.000000
170, 5, 6086562.000000
170, 5, 7077260.000000
170, 5, 3078898.000000
171, 5, 2488594.000000
171, 5, 2833497.000000
171, 5, 6122647.000000
171, 5, 2978290.000000
172, 5, 2680966.000000
172, 5, 6814210.000000
172, 5, 6929072.000000
172, 5, 4040279.000000
173, 5, 5623124.000000
173, 5, 2858658.000000
173, 5, 10008020.000000
173, 5, 2669716.000000
174, 5, 3289668.000000
174, 5, 3040768.000000
174, 5, 4414706.000000
174, 5, 2530637.000000
175, 5, 10002065.000000
175, 5, 5449706.000000
175, 5, 4280093.000000
175, 5, 4844247.000000
176, 5, 5617629.000000
176, 5, 7275192.000000
176, 5, 4557762.000000
176, 5, 10004402.000000
177, 5, 10012929.000000
177, 5, 5779140.000000
177, 5, 8583067.000000
177, 5, 5264245.000000
178, 5, 3998843.000000
178, 5, 8286132.000000
178, 5, 3074117.000000
178, 5, 4855593.000000
179, 5, 6366947.000000
179, 5, 3928449.000000
179, 5, 4374426.000000
179, 5, 8050616.000000
180, 5, 6491878.000000
180, 5, 6187134.000000
180, 5, 2734880.000000
180, 5, 7502337.000000
181, 5, 2992661.000000
181, 5, 5561217.000000
181, 5, 7583302.000000
181, 5, 5675537.000000
182, 5, 6449309.000000
182, 5, 7012046.000000
182, 5, 4264487.000000
182, 5, 5608696.000000
183, 5, 5710593.000000
183, 5, 3960372.000000
183, 5, 3088232.000000
183, 5, 6107275.000000
184, 5, 5425387.000000
184, 5, 3507882.000000
184, 5, 3603387.000000
184, 5, 4589922.000000
185, 5, 6080050.000000
185, 5, 7437578.000000
185, 5, 8305249.000000
185, 5, 6993118.000000
186, 5, 6467163.000000
186, 5, 5797180.000000
186, 5, 5908670.000000
186, 5, 3913700.000000
187, 5, 3662609.000000
187, 5, 7968100.000000
187, 5, 2726362.000000
187, 5, 4919674.000000
188, 5, 5274112.000000
188, 5, 3076792.000000
188, 5, 8951870.000000
188, 5, 2645517.000000
189, 5, 5165096.000000
189, 5, 3968648.000000
189, 5, 5959991.000000
189, 5, 4227808.000000
190, 5, 4003626.000000
190, 5, 3737435.000000
190, 5, 6893333.000000
190, 5, 5069411.000000
191, 5, 4870429.000000
191, 5, 4932380.000000
191, 5, 4038042.000000
191, 5, 4563901.000000
192, 5, 7133314.000000
192, 5, 5556442.000000
192, 5, 10028057.000000
192, 5, 5155411.000000
193, 5, 3551434.000000
193, 5, 10062810.000000
193, 5, 3568918.000000
193, 5, 10016126.000000
194, 5, 3173732.000000
194, 5, 5139621.000000
194, 5, 4979849.000000
194, 5, 5695246.000000
195, 5, 4548044.000000
195, 5, 9367979.000000
195, 5, 7510766.000000
195, 5, 7359164.000000
196, 5, 9550723.000000
196, 5, 9893112.000000
196, 5, 6413293.000000
196, 5, 9639601.000000
197, 5, 8543830.000000
197, 5, 10123037.000000
197, 5, 8007998.000000
197, 5, 10010983.000000
198, 5, 3357454.000000
198, 5, 8961014.000000
198, 5, 9769230.000000
198, 5, 5411881.000000
199, 5, 5281476.000000
199, 5, 10012930.000000
199, 5, 8220225.000000
199, 5, 5794381.000000
200, 5, 7238746.000000
200, 5, 5091354.000000
200, 5, 10014971.000000
200, 5, 6415090.000000
201, 5, 4906124.000000
201, 5, 8725147.000000
201, 5, 7142167.000000
201, 5, 10043064.000000
202, 5, 3941679.000000
202, 5, 8917194.000000
202, 5, 5913486.000000
202, 5, 6098409.000000
203, 5, 6578392.000000
203, 5, 10122425.000000
203, 5, 7751143.000000
203, 5, 6522856.000000
204, 5, 8168948.000000
204, 5, 7430368.000000
204, 5, 8484591.000000
204, 5, 8154002.000000
205, 5, 10160055.000000
205, 5, 7909956.000000
205, 5, 10135996.000000
205, 5, 8986118.000000
206, 5, 10006975.000000
206, 5, 6194838.000000
206, 5, 6961687.000000
206, 5, 10138117.000000
207, 5, 5603052.000000
207, 5, 5735118.000000
207, 5, 9419835.000000
207, 5, 10007793.000000
208, 5, 10002611.000000
208, 5, 6488192.000000
208, 5, 6962354.000000
208, 5, 9630177.000000
209, 5, 7867277.000000
209, 5, 10009995.000000
209, 5, 5637786.000000
209, 5, 10009936.000000
210, 5, 3534599.000000
210, 5, 10139798.000000
210, 5, 9916349.000000
210, 5, 10090478.000000
211, 5, 6488274.000000
211, 5, 10132083.000000
211, 5, 6654988.000000
211, 5, 10039528.000000
212, 5, 10031380.000000
212, 5, 4203300.000000
212, 5, 8296118.000000
212, 5, 5945862.000000
213, 5, 5251210.000000
213, 5, 6820988.000000
213, 5, 9031710.000000
213, 5, 10042133.000000
214, 5, 8361915.000000
214, 5, 6983151.000000
214, 5, 6562258.000000
214, 5, 4141232.000000
215, 5, 10085993.000000
215, 5, 6405332.000000
215, 5, 4168765.000000
215, 5, 10031322.000000
216, 5, 7210994.000000
216, 5, 8185943.000000
216, 5, 10015631.000000
216, 5, 10008392.000000
217, 5, 4260634.000000
217, 5, 7125248.000000
217, 5, 8710019.000000
217, 5, 10007850.000000
218, 5, 5697588.000000
218, 5, 9795146.000000
218, 5, 10095120.000000
218, 5, 9158351.000000
219, 5, 6840464.000000
219, 5, 8742541.000000
219, 5, 10008524.000000
219, 5, 10027490.000000
220, 5, 4446808.000000
220, 5, 10006154.000000
220, 5, 10001286.000000
220, 5, 10005731.000000
221, 5, 6603793.000000
221, 5, 6730843.000000
221, 5, 9645152.000000
221, 5, 6427315.000000
222, 5, 8431381.000000
222, 5, 10066022.000000
222, 5, 10001914.000000
222, 5, 10015329.000000
223, 5, 10102091.000000
223, 5, 10001908.000000
223, 5, 6269556.000000
223, 5, 9140140.000000
224, 5, 9496421.000000
224, 5, 10004110.000000
224, 5, 10009454.000000
224, 5, 6659343.000000
225, 5, 10024858.000000
225, 5, 10066025.000000
225, 5, 6313857.000000
225, 5, 5735482.000000
226, 5, 10103798.000000
226, 5, 10002725.000000
226, 5, 10006917.000000
226, 5, 4877221.000000
227, 5, 10002404.000000
227, 5, 10008884.000000
227, 5, 6890750.000000
227, 5, 5983037.000000
228, 5, 10068098.000000
228, 5, 10020046.000000
228, 5, 5882048.000000
228, 5, 5921219.000000
229, 5, 5982827.000000
229, 5, 6885450.000000
229, 5, 10012608.000000
229, 5, 10119892.000000
230, 5, 8491178.000000
230, 5, 10064031.000000
230, 5, 5565496.000000
230, 5, 10011646.000000
231, 5, 6360350.000000
231, 5, 6197643.000000
231, 5, 5699219.000000
231, 5, 8039347.000000
232, 5, 8482064.000000
232, 5, 10000803.000000
232, 5, 6089921.000000
232, 5, 10004746.000000
233, 5, 10014825.000000
233, 5, 10011540.000000
233, 5, 7045361.000000
233, 5, 10000395.000000
234, 5, 8836653.000000
234, 5, 8478231.000000
234, 5, 2730313.000000
234, 5, 6456841.000000
235, 5, 10002705.000000
235, 5, 6454633.000000
235, 5, 10109873.000000
235, 5, 10011276.000000
236, 5, 10036382.000000
236, 5, 8560858.000000
236, 5, 10102271.000000
236, 5, 8134860.000000
237, 5, 9256091.000000
237, 5, 10008510.000000
237, 5, 10033271.000000
237, 5, 8390986.000000
238, 5, 9353184.000000
238, 5, 10066358.000000
238, 5, 10012802.000000
238, 5, 9365251.000000
239, 5, 10072392.000000
239, 5, 10005127.000000
239, 5, 10017908.000000
239, 5, 10009751.000000
240, 5, 9785307.000000
240, 5, 10061969.000000
240, 5, 10042644.000000
240, 5, 7108338.000000
241, 5, 7970681.000000
241, 5, 10037411.000000
241, 5, 8072576.000000
241, 5, 8440184.000000
242, 5, 10003376.000000
242, 5, 10025149.000000
242, 5, 8307557.000000
242, 5, 10012973.000000
243, 5, 9408641.000000
243, 5, 10023923.000000
243, 5, 10068121.000000
243, 5, 8376886.000000
244, 5, 7258630.000000
244, 5, 10061880.000000
244, 5, 7374320.000000
244, 5, 10003340.000000
245, 5, 10007118.000000
245, 5, 8836797.000000
245, 5, 10008846.000000
245, 5, 7589990.000000
246, 5, 6615952.000000
246, 5, 10005053.000000
246, 5, 6024076.000000
246, 5, 5991647.000000
247, 5, 10008236.000000
247, 5, 8376317.000000
247, 5, 10009150.000000
247, 5, 6069081.000000
248, 5, 10008427.000000
248, 5, 10002678.000000
248, 5, 6326502.000000
248, 5, 6902377.000000
249, 5, 5463484.000000
249, 5, 10071169.000000
249, 5, 9455216.000000
249, 5, 8752171.000000
250, 5, 5930903.000000
250, 5, 8754969.000000
250, 5, 10031920.000000
250, 5, 10037765.000000
251, 5, 10004620.000000
251, 5, 5526640.000000
251, 5, 6518924.000000
251, 5, 10006982.000000
252, 5, 9699773.000000
252, 5, 10006886.000000
252, 5, 7780685.000000
252, 5, 10006253.000000
253, 5, 10024769.000000
253, 5, 8332423.000000
253, 5, 10091607.000000
253, 5, 8353814.000000
254, 5, 10002765.000000
254, 5, 10029390.000000
254, 5, 9121345.000000
254, 5, 10047552.000000
255, 5, 10104045.000000
255, 5, 8959191.000000
255, 5, 10030245.000000
255, 5, 10007855.000000
256, 5, 8414910.000000
256, 5, 9635026.000000
256, 5, 10046965.000000
256, 5, 10020916.000000
257, 5, 7870023.000000
257, 5, 10015294.000000
257, 5, 10023483.000000
257, 5, 10115597.000000
258, 5, 10031705.000000
258, 5, 9659219.000000
258, 5, 10009321.000000
258, 5, 9543447.000000
259, 5, 10004736.000000
259, 5, 8051660.000000
259, 5, 10028766.000000
259, 5, 10003745.000000
260, 5, 10010698.000000
260, 5, 10010807.000000
260, 5, 10033172.000000
260, 5, 10106326.000000
261, 5, 10013978.000000
261, 5, 10005062.000000
261, 5, 10004213.000000
261, 5, 8830640.000000
262, 5, 10032058.000000
262, 5, 10011755.000000
262, 5, 10010409.000000
262, 5, 10011415.000000
263, 5, 10190623.000000
263, 5, 10004637.000000
263, 5, 10026794.000000
263, 5, 10244108.000000
264, 5, 10026555.000000
264, 5, 10016006.000000
264, 5, 10009880.000000
264, 5, 10001376.000000
265, 5, 10200141.000000
265, 5, 10034677.000000
265, 5, 10166586.000000
265, 5, 10006385.000000
266, 5, 10211085.000000
266, 5, 9581270.000000
266, 5, 9846406.000000
266, 5, 10234573.000000
267, 5, 10033274.000000
267, 5, 10036359.000000
267, 5, 10215962.000000
267, 5, 10007020.000000
268, 5, 10009279.000000
268, 5, 10009635.000000
268, 5, 5682889.000000
268, 5, 10046988.000000
269, 5, 10013751.000000
269, 5, 10086063.000000
269, 5, 9888350.000000
269, 5, 10050761.000000
270, 5, 10199081.000000
270, 5, 10011060.000000
